headword,pronunciation
borneo,b ɔ r ˈ n ɛ ɔ
bornholm,ˈ b ɔ r n̥ x ɔ l m
borys,ˈ b ɔ r ɨ s
bosfor,ˈ b ɔ s f ɔ r
boston,ˈ b ɔ s t ɔ̃ n
boszniak,ˈ b ɔ ʃʲ ɲ a k
botswana,b ɔ t s ˈ f ã n a
botswanka,b ɔ t s ˈ f ã ŋ k a
botswańczyk,b ɔ t s ˈ f ã j̃ n͇ t ʃ̑ ɨ k
bozia,ˈ b ɔ ʑ a
bośnia,ˈ b ɔ ɕ ɲ a
bośniaczka,b ɔ ɕ ˈ ɲ a t ʃ̑ k a
bośniak,ˈ b ɔ ɕ ɲ a k
bożena,b ɔ ˈ ʒ ɛ̃ n a
bożenka,b ɔ ˈ ʒ ɛ̃ ŋ k a
bożydar,b ɔ ˈ ʒ ɨ d a r
brahma,ˈ b r a x m a
braniewo,b r ã ˈ ɲ ɛ v ɔ
bratysława,ˌ b r a t ɨ ˈ s w a v a
brazylia,b r a ˈ z ɨ lʲ j a
brazylijczyk,ˌ b r a z ɨ ˈ lʲ i j t ʃ̑ ɨ k
brazylijka,ˌ b r a z ɨ ˈ lʲ i j k a
brańsk,b r ã j̃ s k
brda,b r d a
brema,ˈ b r ɛ̃ m a
bretania,b r ɛ ˈ t ã ɲ j a
brno,b r n ɔ
brodnica,b r ɔ dʲ ˈ ɲ i t s̑ a
brody,ˈ b r ɔ d ɨ
brok,b r ɔ k
bronek,ˈ b r ɔ̃ n ɛ k
bronisław,b r ɔ̃ ˈ ɲ i s w a f
bronisława,ˌ b r ɔ̃ ɲ i ˈ s w a v a
bruksela,b r u ˈ k s ɛ l a
brunei,b r ũ ˈ n ɛ j i
brunejczyk,b r ũ ˈ n ɛ j t ʃ̑ ɨ k
brunejka,b r ũ ˈ n ɛ j k a
bruno,ˈ b r ũ n ɔ
brunon,ˈ b r ũ n ɔ̃ n
brusy,ˈ b r u s ɨ
brwinów,ˈ b r vʲ ĩ n u f
brygida,b r ɨ ˈ ɟ i d a
brytyjczyk,b r ɨ ˈ t ɨ j t ʃ̑ ɨ k
brytyjka,b r ɨ ˈ t ɨ j k a
brzeg,b ʒ ɛ k
brzesko,ˈ b ʒ ɛ s k ɔ
brzeszcze,ˈ b ʒ ɛ ʃ t ʃ̑ ɛ
brzeziny,b ʒ ɛ ˈ ʑ ĩ n ɨ
brzeźnica,b ʒ ɛ ʑ ˈ ɲ i t s̑ a
brzostek,ˈ b ʒ ɔ s t ɛ k
brzozów,ˈ b ʒ ɔ z u f
buda,ˈ b u d a
budapeszt,b u ˈ d a p ɛ ʃ t
budda,ˈ b u dː a
budziszyn,b u ˈ ʥ̑ i ʃ ɨ̃ n
bug,b u k
buk,b u k
bukareszt,b u ˈ k a r ɛ ʃ t
bukowno,b u ˈ k ɔ v n ɔ
bur,b u r
burek,ˈ b u r ɛ k
burgundia,b u r ˈ ɡ ũ n dʲ j a
burkinka,b u rʲ ˈ c ĩ ŋ k a
burkińczyk,b u rʲ ˈ c ĩ j̃ n͇ t ʃ̑ ɨ k
burundi,b u ˈ r ũ n dʲ i
burundyjczyk,ˌ b u r ũ n ˈ d ɨ j t ʃ̑ ɨ k
burundyjka,ˌ b u r ũ n ˈ d ɨ j k a
busko,ˈ b u s k ɔ
busko-zdrój,b u ˈ s k ɔ z d r u j
buszmen,ˈ b u ʃ m ɛ̃ n
bułgar,ˈ b u w ɡ a r
bułgaria,b u w ˈ ɡ a rʲ j a
bułgarka,b u w ˈ ɡ a r k a
bużumbura,ˌ b u ʒ ũ m ˈ b u r a
bychawa,b ɨ ˈ x a v a
byczyna,b ɨ ˈ t ʃ̑ ɨ̃ n a
bydgoszcz,ˈ b ɨ d ɡ ɔ ʃ t ʃ̑
byk,b ɨ k
bytom,ˈ b ɨ t ɔ̃ m
bytów,ˈ b ɨ t u f
bóbr,b u p r̥
bóg,b u k
będzin,ˈ b ɛ̃ ɲ ʥ̑ ĩ n
błaszki,ˈ b w a ʃʲ c i
błażej,ˈ b w a ʒ ɛ j
błażowa,b w a ˈ ʒ ɔ v a
błonie,ˈ b w ɔ̃ ɲ ɛ
c,t s̑ ɛ
cba,t s̑ ɛ b ɛ ˈ a
cbdo,ˌ t s̑ ɛ b ɛ d ɛ ˈ ɔ
cbos,ˈ t s̑ ɛ b ɔ s
cbś,t s̑ ɛ b ɛ ˈː ɕ
cmk,t s̑ ɛ ɛ̃ m ˈ k a
co,t s̑ ɛ ˈ ɔ
cobol,ˈ k ɔ b ɔ l
coboru,t s̑ ɔ ˈ b ɔ r u
cop,t s̑ ɔ p
cplia,t s̑ ɛ ˈ p ɛ lʲ j a
cpn,t s̑ ɛ p ɛ ˈ ɛ̃ n
czd,t s̑ ɛ z ɛ d ˈː ɛ
czk,t s̑ ɛ z ɛ t ˈ k a
caracas,k a ˈ r a k a s
cardiff,ˈ k a r dʲ i f
carmen,ˈ k a r m ɛ̃ n
carycyn,t s̑ a ˈ r ɨ t s̑ ɨ̃ n
całowanie,ˌ t s̑ a w ɔ ˈ v ã ɲ ɛ
cecylia,t s̑ ɛ ˈ t s̑ ɨ lʲ j a
cedynia,t s̑ ɛ ˈ d ɨ̃ ɲ a
cefeusz,t s̑ ɛ ˈ f ɛ s u p w s u p u ʃ
cejlon,ˈ t s̑ ɛ j l ɔ̃ n
celestyna,ˌ t s̑ ɛ l ɛ ˈ s t ɨ̃ n a
celina,t s̑ ɛ ˈ lʲ ĩ n a
celt,t s̑ ɛ l t
centaur,ˈ t s̑ ɛ̃ n t a w r
centralny,t s̑ ɛ̃ n ˈ t r a l n ɨ
cerber,ˈ t s̑ ɛ r b ɛ r
cerera,t s̑ ɛ ˈ r ɛ r a
ceres,ˈ t s̑ ɛ r ɛ s
cezary,t s̑ ɛ ˈ z a r ɨ
chrl,x a ɛ r ˈ ɛ l
chwdp,ˌ x a v u d ɛ ˈ p ɛ
chabarowsk,x a ˈ b a r ɔ f s k
cham,x ã m
chanty-mansyjsk,ˈ x ã n t ɨ ˈ m ã w̃ s ɨ j s k
charków,ˈ x a r k u f
charon,ˈ x a r ɔ̃ n
chartum,ˈ x a r t ũ m
charz,x a ʃ
charzyk,ˈ x a ʒ ɨ k
charzykowy,ˌ x a ʒ ɨ ˈ k ɔ v ɨ
chazar,ˈ x a z a r
cheronea,ˌ x ɛ r ɔ̃ ˈ n ɛ a
cheroneja,ˌ x ɛ r ɔ̃ ˈ n ɛ j a
chełm,x ɛ w m
chełmce,ˈ x ɛ w m t s̑ ɛ
chełmek,ˈ x ɛ w m ɛ k
chełmiec,ˈ x ɛ w mʲ j ɛ t s̑
chełmno,ˈ x ɛ w m n ɔ
chełmża,ˈ x ɛ w m ʒ a
chile,ˈ t ʃ̑ʲ i l ɛ
chilijczyk,t ʃ̑ʲ i ˈ lʲ i j t ʃ̑ ɨ k
chilijka,t ʃ̑ʲ i ˈ lʲ i j k a
chimera,ç ĩ ˈ m ɛ r a
chinka,ˈ ç ĩ ŋ k a
chiny,ˈ ç ĩ n ɨ
chińczyk,ˈ ç ĩ j̃ n͇ t ʃ̑ ɨ k
chmielnik,ˈ x mʲ j ɛ lʲ ɲ i k
chocianów,x ɔ ˈ ʨ̑ ã n u f
chociebuż,x ɔ ˈ ʨ̑ ɛ b u ʃ
chociwel,x ɔ ˈ ʨ̑ i v ɛ l
chodecz,ˈ x ɔ d ɛ t ʃ̑
chodel,ˈ x ɔ d ɛ l
chodzież,ˈ x ɔ ʥ̑ ɛ ʃ
chojna,ˈ x ɔ j n a
chojnice,x ɔ j ˈ ɲ i t s̑ ɛ
chojnów,ˈ x ɔ j n u f
choroszcz,ˈ x ɔ r ɔ ʃ t ʃ̑
chorwacja,x ɔ r ˈ v a t s̑ʲ j a
chorwat,ˈ x ɔ r v a t
chorwatka,x ɔ r ˈ v a t k a
chorzele,x ɔ ˈ ʒ ɛ l ɛ
chorzów,ˈ x ɔ ʒ u f
choszczno,ˈ x ɔ ʃ t ʃ̑ n ɔ
chrystian,ˈ x r ɨ s tʲ j ã n
chrystus,ˈ x r ɨ s t u s
chrystusowy,ˌ x r ɨ s t u ˈ s ɔ v ɨ
chryzostom,x r ɨ ˈ z ɔ s t ɔ̃ m
chrzanów,ˈ x ʃ ã n u f
chęciny,x ɛ̃ ɲ ˈ ʨ̑ ĩ n ɨ
ciechanowiec,ˌ ʨ̑ ɛ x ã ˈ n ɔ vʲ j ɛ t s̑
ciechanów,ʨ̑ ɛ ˈ x ã n u f
ciechocinek,ˌ ʨ̑ ɛ x ɔ ˈ ʨ̑ ĩ n ɛ k
cieszanów,ʨ̑ ɛ ˈ ʃ ã n u f
cieszyn,ˈ ʨ̑ ɛ ʃ ɨ̃ n
ciężkowice,ˌ ʨ̑ ɛ̃ w̃ ʃ k ɔ ˈ vʲ i t s̑ ɛ
cobol,ˈ k ɔ b ɔ l
colargol,k ɔ ˈ l a r ɡ ɔ l
creutzfeldt,ˈ k r ɔ j t s̑ f ɛ l t
cybinka,t s̑ ɨ ˈ bʲ ĩ ŋ k a
cygan,ˈ t s̑ ɨ ɡ ã n
cypek,ˈ t s̑ ɨ p ɛ k
cypr,t s̑ ɨ p r̥
cyprian,ˈ t s̑ ɨ p rʲ j ã n
cypryjczyk,t s̑ ɨ ˈ p r ɨ j t ʃ̑ ɨ k
cypryjka,t s̑ ɨ ˈ p r ɨ j k a
cyrenajka,ˌ t s̑ ɨ r ɛ̃ ˈ n a j k a
cyrkiel,ˈ t s̑ ɨ rʲ c ɛ l
cyrus,ˈ t s̑ ɨ r u s
cyryl,ˈ t s̑ ɨ r ɨ l
czk,ˈ t ʃ̑ ɛ k a
czad,t ʃ̑ a t
czadyjczyk,t ʃ̑ a ˈ d ɨ j t ʃ̑ ɨ k
czadyjka,t ʃ̑ a ˈ d ɨ j k a
czaplinek,t ʃ̑ a ˈ p lʲ ĩ n ɛ k
czarne,ˈ t ʃ̑ a r n ɛ
czarnków,ˈ t ʃ̑ a r n̥ k u f
czarnogóra,ˌ t ʃ̑ a r n ɔ ˈ ɡ u r a
czarnogórka,ˌ t ʃ̑ a r n ɔ ˈ ɡ u r k a
czarnogórzanin,ˌ t ʃ̑ a r n ɔ ɡ u ˈ ʒ ã ɲ ĩ n
czarnogórzanka,ˌ t ʃ̑ a r n ɔ ɡ u ˈ ʒ ã ŋ k a
czarnogórzec,ˌ t ʃ̑ a r n ɔ ˈ ɡ u ʒ ɛ t s̑
czarnolas,t ʃ̑ a r ˈ n ɔ l a s
czarny,ˈ t ʃ̑ a r n ɨ
czchów,t ʃ̑ x u f
czczew,t ʃ̑ː ɛ f
czech,t ʃ̑ ɛ x
czecho-słowacja,ˌ t ʃ̑ ɛ x ɔ s w ɔ ˈ v a t s̑ʲ j a
czechosłowacja,ˌ t ʃ̑ ɛ x ɔ s w ɔ ˈ v a t s̑ʲ j a
czechosłowaczka,ˌ t ʃ̑ ɛ x ɔ s w ɔ ˈ v a t ʃ̑ k a
czechosłowak,ˌ t ʃ̑ ɛ x ɔ ˈ s w ɔ v a k
czechowice-dziedzice,ˌ t ʃ̑ ɛ x ɔ ˈ vʲ i t s̑ ɛ ʥ̑ ɛ̇ ˈ ʥ̑ i t s̑ ɛ
czechy,ˈ t ʃ̑ ɛ x ɨ
czeczenia,t ʃ̑ ɛ ˈ t ʃ̑ ɛ̃ ɲ j a
czelabińsk,t ʃ̑ ɛ ˈ l a bʲ ĩ j̃ s k
czeladź,ˈ t ʃ̑ ɛ l a ʨ̑
czempiń,ˈ t ʃ̑ ɛ̃ m pʲ ĩ ɲ
czerniejewo,ˌ t ʃ̑ ɛ rʲ ɲ ɛ̇ ˈ j ɛ v ɔ
czerniowce,t ʃ̑ ɛ rʲ ˈ ɲ ɔ f t s̑ ɛ
czersk,t ʃ̑ ɛ r s k
czerwieńsk,ˈ t ʃ̑ ɛ r vʲ j ɛ̇̃ j̃ s k
czerwionka-leszczyny,ˌ t ʃ̑ ɛ r vʲ j ɔ̃ ŋ k a l ɛ ʃ ˈ t ʃ̑ ɨ̃ n ɨ
czerwięcice,ˌ t ʃ̑ ɛ r vʲ j ɛ̇̃ ɲ ˈ ʨ̑ i t s̑ ɛ
czeszka,ˈ t ʃ̑ ɛ ʃ k a
czesław,ˈ t ʃ̑ ɛ s w a f
czesława,t ʃ̑ ɛ s ˈ w a v a
czop,t ʃ̑ ɔ p
czukotka,t ʃ̑ u ˈ k ɔ t k a
czyż,t ʃ̑ ɨ ʃ
częstoch,ˈ t ʃ̑ ɛ̃ w̃ s t ɔ x
częstochowa,ˌ t ʃ̑ ɛ̃ w̃ s t ɔ ˈ x ɔ v a
człopa,ˈ t ʃ̑ w ɔ p a
człuchów,ˈ t ʃ̑ w u x u f
d,d ɛ
dda,d ɛ d ɛ ˈ a
dh,d ɛ ˈ x a
din,dʲ ĩ n
dkf,d ɛ k a ˈ ɛ f
dokp,ˌ d ɛ ɔ k a ˈ p ɛ
ds,d ɛ ˈː s
dvd,dʲ i vʲ i ˈ dʲ i
dwc,d ɛ v u ˈ t s̑ ɛ
dafne,ˈ d a f n ɛ
dagda,ˈ d a ɡ d a
dagestan,d a ˈ ɡ ɛ s t ã n
dagmara,d a ɡ ˈ m a r a
dagna,ˈ d a ɡ n a
dagobert,d a ˈ ɡ ɔ b ɛ r t
dakar,ˈ d a k a r
daleszyce,ˌ d a l ɛ ˈ ʃ ɨ t s̑ ɛ
dalila,d a ˈ lʲ i l a
dalmacja,d a l ˈ m a t s̑ʲ j a
dalmatynka,ˌ d a l m a ˈ t ɨ̃ n k a
dalmatyńczyk,ˌ d a l m a ˈ t ɨ̃ j̃ n͇ t ʃ̑ ɨ k
damaszek,d ã ˈ m a ʃ ɛ k
damian,ˈ d ã mʲ j ã n
damroka,d ã m ˈ r ɔ k a
dana,ˈ d ã n a
danaida,ˌ d ã n a ˈ s u p j s u p i d a
dania,ˈ d ã ɲ j a
daniel,ˈ d ã ɲ ɛ l
danisława,d ã ɲ i ˈ s w a v a
danka,ˈ d ã n k a
danuta,d ã ˈ n u t a
dardanele,ˌ d a r d ã ˈ n ɛ l ɛ
darek,ˈ d a r ɛ k
daria,ˈ d a rʲ j a
dariusz,ˈ d a rʲ j u ʃ
darłowo,d a r ˈ w ɔ v ɔ
dawid,ˈ d a vʲ i t
dawidek,d a ˈ vʲ i d ɛ k
debreczyn,d ɛ ˈ b r ɛ t ʃ̑ ɨ̃ n
debrzno,ˈ d ɛ b ʒ n ɔ
deimos,d ɛ ˈ s u p j s u p ĩ m ɔ s
dekalog,d ɛ ˈ k a l ɔ k
dekan,ˈ d ɛ k ã n
delfin,ˈ d ɛ l fʲ ĩ n
demeter,d ɛ̃ ˈ m ɛ t ɛ r
demetra,d ɛ̃ ˈ m ɛ t r a
demetriusz,d ɛ̃ ˈ m ɛ t rʲ j u ʃ
demokryt,d ɛ̃ ˈ m ɔ k r ɨ t
diana,ˈ dʲ j ã n a
dike,ˈ dʲ i k ɛ
dili,ˈ dʲ i lʲ i
diogenes,dʲ j ɔ ˈ ɡ ɛ̃ n ɛ s
dionizos,dʲ j ɔ̇̃ ˈ ɲ i z ɔ s
dionizy,dʲ j ɔ̇̃ ˈ ɲ i z ɨ
dn,ˈ c ɕ ɛ̃ ŋ ɡ a d ã ˈ ɲ ɛ l a
dniepr,dʲ ɲ ɛ p r̥
dniestr,dʲ ɲ ɛ s t r̥
dobczyce,d ɔ p ˈ t ʃ̑ ɨ t s̑ ɛ
dobiegniew,d ɔ ˈ bʲ j ɛ̇ ɟ ɲ ɛ f
dobra,ˈ d ɔ b r a
dobrawa,d ɔ ˈ b r a v a
dobrodzień,d ɔ ˈ b r ɔ ʥ̑ ɛ̇̃ ɲ
dobromir,d ɔ ˈ b r ɔ̃ mʲ i r
dobromił,d ɔ ˈ b r ɔ̃ mʲ i w
dobromiła,ˌ d ɔ b r ɔ̃ ˈ mʲ i w a
dobrota,d ɔ ˈ b r ɔ t a
dobrzany,d ɔ ˈ b ʒ ã n ɨ
dodoma,d ɔ ˈ d ɔ̃ m a
dolsk,d ɔ l s k
dolędzin,d ɔ ˈ l ɛ̃ ɲ ʥ̑ ĩ n
dominik,d ɔ̃ ˈ mʲ ĩ ɲ i k
dominika,ˌ d ɔ̃ mʲ ĩ ˈ ɲ i k a
dominikana,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã n a
dominikanin,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã ɲ ĩ n
dominikanka,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã n k a
dominikańczyk,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã j̃ n͇ t ʃ̑ ɨ k
don,d ɔ̃ n
donald,ˈ d ɔ̃ n a l t
donieck,ˈ d ɔ̃ ɲ ɛ t s̑ k
dorian,ˈ d ɔ rʲ j ã n
dorota,d ɔ ˈ r ɔ t a
drawno,ˈ d r a v n ɔ
drezdenko,d r ɛ z ˈ d ɛ̃ n k ɔ
drezno,ˈ d r ɛ z n ɔ
drobin,ˈ d r ɔ bʲ ĩ n
drohiczyn,d r ɔ ˈ ç i t ʃ̑ ɨ̃ n
drohobycz,d r ɔ ˈ x ɔ b ɨ t ʃ̑
drzewica,ḍ ʒ ɛ ˈ vʲ i t s̑ a
dubaj,ˈ d u b a j
dublin,ˈ d u b lʲ ĩ n
dubrownik,d u ˈ b r ɔ vʲ ɲ i k
dukla,ˈ d u k l a
dunaj,ˈ d ũ n a j
dunajec,d ũ ˈ n a j ɛ t s̑
dunka,ˈ d ũ ŋ k a
dunkierka,d ũ ŋʲ ˈ c ɛ r k a
dusiołek,d u ˈ ɕ ɔ w ɛ k
duszanbe,d u ˈ ʃ ã n b ɛ
duszniki,d u ʃʲ ˈ ɲ i c i
duszniki-zdrój,d u ʃʲ ˈ ɲ i c i ˈ z d r u j
duńczyk,ˈ d ũ j̃ n͇ t ʃ̑ ɨ k
dynów,ˈ d ɨ̃ n u f
dz,ˈ ʥ̑ ɛ̇ j ɛ ˌ a p ɔ ˈ s t ɔ l sʲ c ɛ
dzeus,ˈ d z̑ ɛ u s
działdowo,ʥ̑ a w ˈ d ɔ v ɔ
działoszyce,ˌ ʥ̑ a w ɔ ˈ ʃ ɨ t s̑ ɛ
działoszyn,ʥ̑ a ˈ w ɔ ʃ ɨ̃ n
dziecinów,ʥ̑ ɛ̇ ˈ ʨ̑ ĩ n u f
dzierzgoń,ˈ ʥ̑ ɛ ʒ ɡ ɔ̃ ɲ
dzierżoniów,ʥ̑ ɛ r ˈ ʒ ɔ̃ ɲ u f
dzietrzych,ˈ ʥ̑ ɛ ṭ ʃ ɨ x
dziećmiar,ˈ ʥ̑ ɛ̇ ʨ̑ mʲ j a r
dziwna,ˈ ʥ̑ i v n a
dziwnów,ˈ ʥ̑ i v n u f
dziwnówek,ʥ̑ i v ˈ n u v ɛ k
dąbie,ˈ d ɔ̃ m bʲ j ɛ
dąbrówka,d ɔ̃ m ˈ b r u f k a
dębica,d ɛ̃ m ˈ bʲ i t s̑ a
dębiec,ˈ d ɛ̃ m bʲ j ɛ t s̑
dęblin,ˈ d ɛ̃ m b lʲ ĩ n
dębno,ˈ d ɛ̃ m b n ɔ
dźwirzyno,ʥ̑ vʲ i ˈ ʒ ɨ̃ n ɔ
dżakarta,d ʒ̑ a ˈ k a r t a
dżamila,d ʒ̑ ã ˈ mʲ i l a
dżanin,ˈ d ʒ̑ ã ɲ ĩ n
dżenin,ˈ d ʒ̑ ɛ̃ ɲ ĩ n
dżibuti,d ʒ̑ʲ i ˈ b u tʲ i
dżibutyjczyk,ˌ d ʒ̑ʲ i b u ˈ t ɨ j t ʃ̑ ɨ k
dżibutyjka,ˌ d ʒ̑ʲ i b u ˈ t ɨ j k a
e-dur,ˈ ɛ d u r
eawg,ˌ ɛ a v u ˈ ɟ ɛ
ebc,ɛ b ɛ ˈ t s̑ ɛ
ebor,ˈ ɛ b ɔ r
eboir,ɛ b ɔ ˈ i r
efr,ɛː f ˈ ɛ r
efrr,ˌ ɛː f ɛ r ˈ ɛ r
efs,ɛː f ˈ ɛ s
emc,ɛ ɛ̃ m ˈ t s̑ ɛ
eog,ɛ ɔ ˈ ɟ ɛ
epe,ɛ p ɛ ˈː
esbc,ˌ ɛː z b ɛ ˈ t s̑ ɛ
esw,ɛː z ˈ v u
etpc,ˌ ɛ t ɛ p ɛ ˈ t s̑ ɛ
ewg,ɛ v u ˈ ɟ ɛ
ewp,ɛ v u ˈ p ɛ
ezt,ɛ z ɛ t ˈː ɛ
eastre,ˈ æː a s t r e
ebro,ˈ ɛ b r ɔ
edeltruda,ˌ ɛ d ɛ l ˈ t r u d a
edgar,ˈ ɛ d ɡ a r
edirne,ɛ ˈ dʲ i r n ɛ
edmund,ˈ ɛ d m ũ n t
edom,ˈ ɛ d ɔ̃ m
edward,ˈ ɛ d v a r t
edwin,ˈ ɛ d vʲ ĩ n
edynburg,ɛ ˈ d ɨ̃ n b u r k
edyta,ɛ ˈ d ɨ t a
ef,ˈ lʲ i z d ˌː ɔ ɛ ˈ f ɛ zʲ j ã n
efialtes,ɛ ˈ fʲ j a l t ɛ s
egina,ɛ ˈ ɟ ĩ n a
egipcjanin,ˌ ɛ ɟ i p ˈ t s̑ʲ j ä̃ ɲ ĩ n
egipcjanka,ˌ ɛ ɟ i p ˈ t s̑ʲ j ã ŋ k a
egipt,ˈ ɛ ɟ i p t
egon,ˈ ɛ ɡ ɔ̃ n
eipt,ˈ ɛ s u p j s u p i p t
ekwador,ɛ ˈ k f a d ɔ r
ekwadorczyk,ˌ ɛ k f a ˈ d ɔ r t ʃ̑ ɨ k
ekwadorka,ˌ ɛ k f a ˈ d ɔ r k a
elba,ˈ ɛ l b a
elbląg,ˈ ɛ l b l ɔ̃ ŋ k
elbrus,ˈ ɛ l b r u s
eleonora,ˌ ɛ l ɛ ɔ̃ ˈ n ɔ r a
eleukadia,ˌ ɛ l ɛ w ˈ k a dʲ j a
eliasz,ˈ ɛ lʲ j a ʃ
eligiusz,ɛ ˈ lʲ i ɟ u ʃ
eliza,ɛ ˈ lʲ i z a
elmira,ɛ l ˈ mʲ i r a
elżbieta,ɛ l ʒ ˈ bʲ j ɛ t a
emanuel,ˌ ɛ̃ m ã ˈ n u s u p w s u p ɛ l
emeryk,ɛ̃ ˈ m ɛ r ɨ k
emi,ˈ ɛ̃ mʲ i
emil,ˈ ɛ̃ mʲ i l
emila,ɛ̃ ˈ mʲ i l a
emilcia,ɛ̃ ˈ mʲ i lʲ ʨ̑ a
emili,ɛ̃ ˈ mʲ i lʲ i
emilia,ɛ̃ ˈ mʲ i lʲ j a
emilia-romania,ˌ ɛ̃ mʲ i lʲ j a r ɔ̃ ˈ m ã ɲ j a
emilian,ɛ̃ ˈ mʲ i lʲ j ã n
emilka,ɛ̃ ˈ mʲ i l k a
emilunia,ˌ ɛ̃ mʲ i ˈ l ũ ɲ a
emilusia,ˌ ɛ̃ mʲ i ˈ l u ɕ a
emiluś,ɛ̃ ˈ mʲ i l u ɕ
emiluśka,ˌ ɛ̃ mʲ i ˈ l u ɕ k a
emiraty,ˌ ɛ̃ mʲ i ˈ r a t ɨ
emma,ˈ ɛ̃ mː a
endymion,ɛ̃ n ˈ d ɨ̃ mʲ j ɔ̃ n
engelbert,ɛ̃ ŋ ˈ ɡ ɛ l b ɛ r t
enoch,ˈ ɛ̃ n ɔ x
enschede,ˈ ɛ n s x ɛ d ɛ
eolia,ɛ ˈ ɔ lʲ j a
eos,ˈ ɛ ɔ s
erasmus,ɛ ˈ r a s m u s
erato,ɛ ˈ r a t ɔ
erazm,ˈ ɛ r a s m̥
ereb,ˈ ɛ r ɛ p
eris,ˈ ɛ rʲ i s
ernest,ˈ ɛ r n ɛ s t
eros,ˈ ɛ r ɔ s
erwin,ˈ ɛ r vʲ ĩ n
eryda,ɛ ˈ r ɨ d a
erydan,ɛ ˈ r ɨ d ã n
eryk,ˈ ɛ r ɨ k
eryka,ɛ ˈ r ɨ k a
erytrea,ˌ ɛ r ɨ ˈ t r ɛ a
erytrejczyk,ˌ ɛ r ɨ ˈ t r ɛ j t ʃ̑ ɨ k
erytrejka,ˌ ɛ r ɨ ˈ t r ɛ j k a
erywań,ɛ ˈ r ɨ v ã ɲ
eskulap,ɛ ˈ s k u l a p
est,ˈ c ɕ ɛ̃ ŋ ɡ a ɛ ˈ s t ɛ r ɨ
estera,ɛ ˈ s t ɛ r a
estonia,ɛ ˈ s t ɔ̃ ɲ j a
estonka,ɛ ˈ s t ɔ̃ ŋ k a
estończyk,ɛ ˈ s t ɔ̃ j̃ n͇ t ʃ̑ ɨ k
eter,ˈ ɛ t ɛ r
etiopczyk,ɛ ˈ tʲ j ɔ p t ʃ̑ ɨ k
etiopia,ɛ ˈ tʲ j ɔ pʲ j a
etiopka,ɛ ˈ tʲ j ɔ p k a
etolia,ɛ ˈ t ɔ lʲ j a
etruria,ɛ ˈ t r u rʲ j a
etrusk,ˈ ɛ t r u s k
etruska,ɛ ˈ t r u s k a
eufemia,ɛ w ˈ f ɛ̃ mʲ j a
eufrat,ˈ ɛ w f r a t
eufrozyna,ˌ ɛ w f r ɔ ˈ z ɨ̃ n a
eugenia,ɛ w ˈ ɡ ɛ̃ ɲ j a
eugeniusz,ɛ w ˈ ɡ ɛ̃ ɲ u ʃ
euklides,ɛ w ˈ k lʲ i d ɛ s
eunika,ɛ wʲ ˈ ɲ i k a
eurazja,ɛ w ˈ r a zʲ j a
euroland,ɛ w ˈ r ɔ l ã n t
europa,ɛ w ˈ r ɔ p a
europejczyk,ˌ ɛ w r ɔ ˈ p ɛ j t ʃ̑ ɨ k
europejka,ˌ ɛ w r ɔ ˈ p ɛ j k a
europol,ɛ w ˈ r ɔ p ɔ l
euros,ˈ ɛ w r ɔ s
eustachy,ɛ w ˈ s t a x ɨ
eustazy,ɛ w ˈ s t a z ɨ
euterpe,ɛ w ˈ t ɛ r p ɛ
euzebia,ɛ w ˈ z ɛ bʲ j a
euzebiusz,ɛ w ˈ z ɛ bʲ j u ʃ
ewp,ɛ v u ˈ p ɛ
ewa,ˈ ɛ v a
ewelina,ˌ ɛ v ɛ ˈ lʲ ĩ n a
ewka,ˈ ɛ f k a
ez,ˈ c ɕ ɛ̃ ŋ ɡ a ˌ ɛ z ɛ ˈ ç j ɛ l a
ezd,ˈ c ɕ ɛ̃ ŋ ɡ a ɛ z ˈ d r a ʃ a
ezdrasz,ˈ ɛ z d r a ʃ
ezechiel,ɛ ˈ z ɛ ç j ɛ l
ezop,ˈ ɛ z ɔ p
ełk,ɛ w k
fb,ɛ v ˈ b ɛ
fi,ɛ f ˈ i
fsb,ɛ f ɛ z ˈ b ɛ
fsm,ɛ f ɛ s ˈ ɛ̃ m
fwp,ɛ vː u ˈ p ɛ
fabian,ˈ f a bʲ j ã n
fabrycy,ˈ f a b r ɨ t s̑ ɨ
falklandy,f a l k ˈ l ã n d ɨ
fatima,f a ˈ tʲ ĩ m a
faun,f a w n
faust,f a w s t
faustyna,f a w ˈ s t ɨ̃ n a
fawoniusz,f a ˈ v ɔ̃ ɲ u ʃ
felicja,f ɛ ˈ lʲ i t s̑ʲ j a
felicjan,f ɛ ˈ lʲ i t s̑ʲ j ã n
feliks,ˈ f ɛ lʲ i k s
fenicja,f ɛ̃ ˈ ɲ i t s̑ʲ j a
fenicjanin,ˌ f ɛ̃ ɲ i ˈ t s̑ʲ j ä̃ ɲ ĩ n
fenicjanka,ˌ f ɛ̃ ɲ i ˈ t s̑ʲ j ã ŋ k a
feniks,ˈ f ɛ̃ ɲ i k s
ferdynand,f ɛ r ˈ d ɨ̃ n ã n t
ferenc,ˈ f ɛ r ɛ̃ n t s̑
fez,f ɛ s
fiat,fʲ j a t
