aah,ˈ ɑː
acrylic,ɐ k ɹ ˈ ɪ l ɪ k
acrylics,ɐ k ɹ ˈ ɪ l ɪ k s
act,ˈ æ k t
acted,ˈ æ k t ɪ d
actin,ˈ æ k t ɪ n
acting,ˈ æ k t ɪ ŋ
actinic,æ k t ˈ ɪ n ɪ k
actinide,ˈ æ k t ɪ n ˌ aɪ d
actinium,æ k t ˈ ɪ n i ə m
actionable,ˈ æ k ʃ ə n ə b ə l
action,ˈ æ k ʃ ə n
actions,ˈ æ k ʃ ə n z
activate,ˈ æ k t ɪ v ˌ eɪ t
activated,ˈ æ k t ɪ v ˌ eɪ t ɪ d
activates,ˈ æ k t ɪ v ˌ eɪ t s
activating,ˈ æ k t ɪ v ˌ eɪ t ɪ ŋ
activation,ˌ æ k t ɪ v ˈ eɪ ʃ ə n
activations,ˌ æ k t ɪ v ˈ eɪ ʃ ə n z
activator,ˈ æ k t ɪ v ˌ eɪ t ɐ
active,ˈ æ k t ɪ v
actively,ˈ æ k t ɪ v l i
actives,ˈ æ k t ɪ v z
activism,ˈ æ k t ɪ v ˌ ɪ z ə m
activist,ˈ æ k t ɪ v ˌ ɪ s t
activists,ˈ æ k t ɪ v ˌ ɪ s t s
activities,æ k t ˈ ɪ v ɪ t i z
activity,æ k t ˈ ɪ v ɪ t i
actor,ˈ æ k t ɐ
actors,ˈ æ k t ə z
actress,ˈ æ k t ɹ ə s
actresses,ˈ æ k t ɹ ə s ɪ z
acts,ˈ æ k t s
actual,ˈ æ k t ʃ uː ə l
actualisation,ˌ æ k t ʃ uː ə l aɪ z ˈ eɪ ʃ ə n
actualise,ˈ æ k t ʃ uː ə l ˌ aɪ z
actualised,ˈ æ k t ʃ uː ə l ˌ aɪ z d
actualities,ˌ æ k t ʃ uː ˈ æ l ɪ t i z
actuality,ˌ æ k t ʃ uː ˈ æ l ɪ t i
actually,ˈ æ k t ʃ uː ə l i
actuarial,ˌ æ k t ʃ uː ˈ eə ɹ ɪə l
actuarially,ˌ æ k t ʃ uː ˈ eə ɹ ɪə l i
actuaries,ˈ æ k t ʃ uː ə ɹ i z
actuary,ˈ æ k t ʃ uː ə ɹ i
actuated,ˈ æ k t ʃ uː ˌ eɪ t ɪ d
actuator,ˈ æ k t ʃ uː ˌ eɪ t ɐ
actuators,ˈ æ k t ʃ uː ˌ eɪ t ə z
acuity,ɐ k j ˈ uː ɪ t i
acumen,ˈ æ k j uː m ˌ ɛ n
acupressure,ˈ æ k ə p ɹ ˌ ɛ ʃ ɐ
acupuncture,ˈ æ k j uː p ˌ ʌ ŋ k t ʃ ɐ
acupuncturist,ˈ æ k j uː p ˌ ʌ ŋ k t ʃ ə ɹ ˌ ɪ s t
acute,ɐ k j ˈ uː t
acutely,ɐ k j ˈ uː t l i
acuteness,ɐ k j ˈ uː t n ə s
acuter,ɐ k j ˈ uː t ɐ
acyclovir,ɐ k ˈ aɪ k l ə v ˌ i ə
ad,ˈ æ d
adage,ˈ æ d ɪ d ʒ
adages,ˈ æ d ɪ d ʒ ɪ z
adagio,æ d ˈ ɑː d ʒ ɪ ˌ əʊ
adamant,ˈ æ d ə m ə n t
adamantine,ˈ æ d ɐ m ˌ ɑː n t iː n
adamantly,ˈ æ d ə m ə n t l i
adaptability,ɐ d ˌ æ p t ə b ˈ ɪ l ɪ t i
adaptable,ɐ d ˈ æ p t ə b ə l
adaptation,ɐ d ɐ p t ˈ eɪ ʃ ə n
adaptations,ɐ d ɐ p t ˈ eɪ ʃ ə n z
adapt,ɐ d ˈ æ p t
adapted,ɐ d ˈ æ p t ɪ d
adapter,ɐ d ˈ æ p t ɐ
adapters,ɐ d ˈ æ p t ə z
adapting,ɐ d ˈ æ p t ɪ ŋ
adaption,ɐ d ˈ æ p ʃ ə n
adaptions,ɐ d ˈ æ p ʃ ə n z
adaptive,ɐ d ˈ æ p t ɪ v
adaptively,ɐ d ˈ æ p t ɪ v l i
adaptor,ɐ d ˈ æ p t ɐ
adaptors,ɐ d ˈ æ p t ə z
adapts,ɐ d ˈ æ p t s
add,ˈ æ d
added,ˈ æ d ɪ d
addendum,ɐ d ˈ ɛ n d ə m
adder,ˈ æ d ɐ
adders,ˈ æ d ə z
addicted,ɐ d ˈ ɪ k t ɪ d
addicting,ɐ d ˈ ɪ k t ɪ ŋ
addiction,ɐ d ˈ ɪ k ʃ ə n
addictions,ɐ d ˈ ɪ k ʃ ə n z
addictive,ɐ d ˈ ɪ k t ɪ v
adding,ˈ æ d ɪ ŋ
additional,ɐ d ˈ ɪ ʃ ə n ə l
additionally,ɐ d ˈ ɪ ʃ ə n ə l i
addition,ɐ d ˈ ɪ ʃ ə n
additions,ɐ d ˈ ɪ ʃ ə n z
additive,ˈ æ d ɪ t ˌ ɪ v
additives,ˈ æ d ɪ t ˌ ɪ v z
addle,ˈ æ d ə l
addled,ˈ æ d ə l d
addles,ˈ æ d ə l z
addling,ˈ æ d l ɪ ŋ
addressable,ɐ d ɹ ˈ ɛ s ə b ə l
addressed,ɐ d ɹ ˈ ɛ s t
addressee,ɐ d ɹ ˈ ɛ s iː
addresses,ɐ d ɹ ˈ ɛ s ɪ z
addressing,ɐ d ɹ ˈ ɛ s ɪ ŋ
adds,ˈ æ d z
adduced,ɐ d j ˈ uː s t
adduce,ɐ d j ˈ uː s
adductor,ɐ d ˈ ʌ k t ɐ
adenine,ˈ æ d ə n ˌ iː n
adenocarcinoma,ˌ æ d ə n ˌ ɒ k ɑː s ɪ n ˈ əʊ m ɐ
adenoidal,ˈ æ d ə n ˌ ɔɪ d ə l
adenoids,ˈ æ d ə n ˌ ɔɪ d z
adenosine,ˈ æ d ə n ˌ ɒ s aɪ n
adeptly,ɐ d ˈ ɛ p t l i
adeptness,ɐ d ˈ ɛ p t n ə s
adequacy,ˈ æ d ɪ k w ə s i
adequate,ˈ æ d ɪ k w ə t
adequately,ˈ æ d ɪ k w ə t l i
adhered,æ d h ˈ i ə d
adhere,ɐ d h ˈ i ə
adherence,ɐ d h ˈ i ə ɹ ə n s
adherent,ɐ d h ˈ i ə ɹ ə n t
adherents,ɐ d h ˈ i ə ɹ ə n t s
adheres,ɐ d h ˈ i ə z
adhering,æ d h ˈ i ə ɹ ɪ ŋ
adhesion,ɐ d h ˈ iː ʒ ə n
adhesive,ɐ d h ˈ iː s ɪ v
adhesives,ɐ d h ˈ iː s ɪ v z
adiabatic,ˌ eɪ d ɪ ɐ b ˈ æ t ɪ k
adieu,ɐ d j ˈ uː
adieux,ɐ d j ˈ uː z
adipose,ˈ æ d ɪ p ˌ əʊ z
adits,ˈ æ d ɪ t s
adjacent,ɐ d ʒ ˈ eɪ s ə n t
adjectival,ˌ æ d ʒ ɪ k t ˈ aɪ v ə l
adjective,ˈ æ d ʒ ɪ k t ˌ ɪ v
adjectives,ˈ æ d ʒ ɪ k t ˌ ɪ v z
adjoin,ɐ d ʒ ˈ ɔɪ n
adjoined,ɐ d ʒ ˈ ɔɪ n d
adjoining,ɐ d ʒ ˈ ɔɪ n ɪ ŋ
adjoins,ɐ d ʒ ˈ ɔɪ n z
adjourn,ɐ d ʒ ˈ ɜː n
adjourned,ɐ d ʒ ˈ ɜː n d
adjourning,ɐ d ʒ ˈ ɜː n ɪ ŋ
adjournment,ɐ d ʒ ˈ ɜː n m ə n t
adjourns,ɐ d ʒ ˈ ɜː n z
adjudged,ɐ d ʒ ˈ ʌ d ʒ d
adjudicated,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t ɪ d
adjudicate,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t
adjudicates,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t s
adjudicating,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t ɪ ŋ
adjudication,ɐ d ʒ ˌ uː d ɪ k ˈ eɪ ʃ ə n
adjudications,ɐ d ʒ ˌ uː d ɪ k ˈ eɪ ʃ ə n z
adjudicator,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t ɐ
adjudicators,ɐ d ʒ ˈ uː d ɪ k ˌ eɪ t ə z
adjunct,ˈ æ d d ʒ ʌ ŋ k t
adjustable,ɐ d ʒ ˈ ʌ s t ə b ə l
adjust,ɐ d ʒ ˈ ʌ s t
adjusted,ɐ d ʒ ˈ ʌ s t ɪ d
adjuster,ɐ d ʒ ˈ ʌ s t ɐ
adjusters,ɐ d ʒ ˈ ʌ s t ə z
adjusting,ɐ d ʒ ˈ ʌ s t ɪ ŋ
adjustment,ɐ d ʒ ˈ ʌ s t m ə n t
adjustments,ɐ d ʒ ˈ ʌ s t m ə n t s
adjustor,ɐ d ʒ ˈ ʌ s t ɐ
adjustors,ɐ d ʒ ˈ ʌ s t ə z
adjusts,ɐ d ʒ ˈ ʌ s t s
adjutant,ˈ æ d ʒ uː t ə n t
adjuvant,ɐ d ʒ ˈ uː v ə n t
admen,ɐ d m ˈ ɛ n
administer,ɐ d m ˈ ɪ n ɪ s t ɐ
administered,ɐ d m ˈ ɪ n ɪ s t ə d
administering,ɐ d m ˈ ɪ n ɪ s t ə ɹ ɪ ŋ
administers,ɐ d m ˈ ɪ n ɪ s t ə z
administrate,ɐ d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t
administrating,ɐ d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t ɪ ŋ
administration,ɐ d m ˌ ɪ n ɪ s t ɹ ˈ eɪ ʃ ə n
administrations,ɐ d m ˌ ɪ n ɪ s t ɹ ˈ eɪ ʃ ə n z
administrative,ɐ d m ˈ ɪ n ɪ s t ɹ ə t ˌ ɪ v
administratively,ɐ d m ˈ ɪ n ɪ s t ɹ ə t ˌ ɪ v l i
administrator,ɐ d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t ɐ
administrators,ɐ d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t ə z
admirable,ˈ æ d m ə ɹ ə b ə l
admirably,ˈ æ d m ə ɹ ə b l ˌ i
admiral,ˈ æ d m ɜː ɹ ə l
admirals,ˈ æ d m ɜː ɹ ə l z
admiralty,ˈ æ d m ə ɹ ə l t i
admiration,ˌ æ d m ə ɹ ˈ eɪ ʃ ə n
admired,ɐ d m ˈ aɪ ə d
admire,ɐ d m ˈ aɪ ə
admirer,ɐ d m ˈ aɪ ə ɹ ɐ
admirers,ɐ d m ˈ aɪ ə ɹ ə z
admires,ɐ d m ˈ aɪ ə z
admiring,ɐ d m ˈ aɪ ə ɹ ɪ ŋ
admiringly,ɐ d m ˈ aɪ ə ɹ ɪ ŋ l i
admissibility,ɐ d m ˌ ɪ s ə b ˈ ɪ l ɪ t i
admissible,ɐ d m ˈ ɪ s ə b ə l
admission,ɐ d m ˈ ɪ ʃ ə n
admissions,ɐ d m ˈ ɪ ʃ ə n z
admit,ɐ d m ˈ ɪ t
admits,ɐ d m ˈ ɪ t s
admittance,ɐ d m ˈ ɪ t ə n s
admitted,ɐ d m ˈ ɪ t ɪ d
admittedly,ɐ d m ˈ ɪ t ɪ d l i
admitting,ɐ d m ˈ ɪ t ɪ ŋ
admixture,ɐ d m ˈ ɪ k s t ʃ ɐ
admonish,ɐ d m ˈ ɒ n ɪ ʃ
admonished,ɐ d m ˈ ɒ n ɪ ʃ t
admonishes,ɐ d m ˈ ɒ n ɪ ʃ ɪ z
admonishing,ɐ d m ˈ ɒ n ɪ ʃ ɪ ŋ
admonishment,ɐ d m ˈ ɒ n ɪ ʃ m ə n t
admonition,ˌ æ d m ə n ˈ ɪ ʃ ə n
admonitions,ˌ æ d m ə n ˈ ɪ ʃ ə n z
adobe,ɐ d ˈ əʊ b i
ado,ɐ d ˈ uː
adolescence,ˌ æ d ə l ˈ ɛ s ə n s
adolescent,ˌ æ d ə l ˈ ɛ s ə n t
adolescents,ˌ æ d ə l ˈ ɛ s ə n t s
adonis,æ d ˈ əʊ n i z
adonises,ˈ æ d ə n ˌ aɪ z ɪ z
adoptable,ɐ d ˈ ɒ p t ə b ə l
adopt,ɐ d ˈ ɒ p t
adopted,ɐ d ˈ ɒ p t ɪ d
adoptee,ɐ d ˈ ɒ p t iː
adopter,ɐ d ˈ ɒ p t ɐ
adopters,ɐ d ˈ ɒ p t ə z
adopting,ɐ d ˈ ɒ p t ɪ ŋ
adoption,ɐ d ˈ ɒ p ʃ ə n
adoptions,ɐ d ˈ ɒ p ʃ ə n z
adoptive,ɐ d ˈ ɒ p t ɪ v
adopts,ɐ d ˈ ɒ p t s
adorable,ɐ d ˈ ɔː ɹ ə b ə l
adorableness,ɐ d ˈ ɔː ɹ ə b ə l n ə s
adorably,ɐ d ˈ ɔː ɹ ə b l i
adoration,ˌ æ d ə ɹ ˈ eɪ ʃ ə n
adored,ɐ d ˈ ɔː d
adore,ɐ d ˈ ɔː
adorers,ɐ d ˈ ɔː ɹ ə z
adores,ɐ d ˈ ɔː z
adoring,ɐ d ˈ ɔː ɹ ɪ ŋ
adoringly,ɐ d ˈ ɔː ɹ ɪ ŋ l i
adorn,ɐ d ˈ ɔː n
adorned,ɐ d ˈ ɔː n d
adorning,ɐ d ˈ ɔː n ɪ ŋ
adornment,ɐ d ˈ ɔː n m ə n t
adornments,ɐ d ˈ ɔː n m ə n t s
adorns,ɐ d ˈ ɔː n z
adown,ɐ d ˈ aʊ n
adrenal,ɐ d ɹ ˈ iː n ə l
adrenalin,ɐ d ɹ ˈ ɛ n ɐ l ˌ ɪ n
adrenaline,ɐ d ɹ ˈ ɛ n ə l ˌ ɪ n
adrift,ɐ d ɹ ˈ ɪ f t
adroit,ɐ d ɹ ˈ ɔɪ t
adroitly,ɐ d ɹ ˈ ɔɪ t l i
ads,ˈ æ d z
adsorption,ɐ d s ˈ ɔː p ʃ ə n
adulate,ˈ æ d j ʊ l ˌ eɪ t
adulated,ˈ æ d j ʊ l ˌ eɪ t ɪ d
adulation,ˌ æ d j ʊ l ˈ eɪ ʃ ə n
adult,ˈ æ d ʌ l t
adulterated,ɐ d ˈ ʌ l t ə ɹ ˌ eɪ t ɪ d
adulterating,ɐ d ˈ ʌ l t ə ɹ ˌ eɪ t ɪ ŋ
adulteration,ɐ d ˌ ʌ l t ə ɹ ˈ eɪ ʃ ə n
adulterer,ɐ d ˈ ʌ l t ə ɹ ɐ
adulterers,ɐ d ˈ ʌ l t ə ɹ ə z
adulteress,ɐ d ˈ ʌ l t ə ɹ ə s
adulteresses,ɐ d ˈ ʌ l t ə ɹ ə s ɪ z
adulteries,ɐ d ˈ ʌ l t ə ɹ i z
adulterous,ɐ d ˈ ʌ l t ə ɹ ə s
adultery,ɐ d ˈ ʌ l t ə ɹ i
adulthood,ɐ d ˈ ʌ l t h ʊ d
adults,ˈ æ d ʌ l t s
advanced,ɐ d v ˈ æ n s t
advance,ɐ d v ˈ æ n s
advancement,ɐ d v ˈ æ n s m ə n t
advancements,ɐ d v ˈ æ n s m ə n t s
advances,ɐ d v ˈ æ n s ɪ z
advancing,ɐ d v ˈ æ n s ɪ ŋ
advantaged,ɐ d v ˈ ɑː n t ɪ d ʒ d
advantage,ɐ d v ˈ ɑː n t ɪ d ʒ
advantageous,ɐ d v ɑː n t ˈ eɪ d ʒ ə s
advantageously,ɐ d v ɑː n t ˈ eɪ d ʒ ə s l i
advantages,ɐ d v ˈ ɑː n t ɪ d ʒ ɪ z
advent,ˈ æ d v ɛ n t
adventitious,ˌ æ d v ɪ n t ˈ ɪ ʃ ə s
adventured,ɐ d v ˈ ɛ n t ʃ ə d
adventure,ɐ d v ˈ ɛ n t ʃ ɐ
adventurer,ɐ d v ˈ ɛ n t ʃ ə ɹ ɐ
adventurers,ɐ d v ˈ ɛ n t ʃ ə ɹ ə z
adventures,ɐ d v ˈ ɛ n t ʃ ə z
adventuresome,ɐ d v ˈ ɛ n t ʃ ə s ˌ ʌ m
adventuress,ɐ d v ˈ ɛ n t ʃ ə ɹ ˌ ɛ s
adventuring,ɐ d v ˈ ɛ n t ʃ ə ɹ ɪ ŋ
adventurism,ɐ d v ˈ ɛ n t ʃ ə ɹ ˌ ɪ z ə m
adventurist,ɐ d v ˈ ɛ n t ʃ ə ɹ ˌ ɪ s t
adventurists,ɐ d v ˈ ɛ n t ʃ ə ɹ ˌ ɪ s t s
adventurous,ɐ d v ˈ ɛ n t ʃ ə ɹ ə s
adventurously,ɐ d v ˈ ɛ n t ʃ ə ɹ ə s l i
adventurousness,ɐ d v ˈ ɛ n t ʃ ə ɹ ə s n ə s
adverb,ˈ æ d v ɜː b
adverbs,ˈ æ d v ɜː b z
adversarial,ˌ æ d v ə s ˈ eə ɹ ɪə l
adversaries,ˈ æ d v ə s ə ɹ i z
adversary,ˈ æ d v ə s ə ɹ i
adverse,æ d v ˈ ɜː s
adversely,æ d v ˈ ɜː s l i
adversities,æ d v ˈ ə s ɪ t i z
adversity,æ d v ˈ ə s ɪ t i
adverted,ɐ d v ˈ ɜː t ɪ d
advertise,ˈ æ d v ə t ˌ aɪ z
advertised,ˈ æ d v ə t ˌ aɪ z d
advertisement,ɐ d v ˈ ɜː t ɪ s m ə n t
advertisements,ˈ æ d v ə t ˌ aɪ z m ə n t s
advertiser,ˈ æ d v ə t ˌ aɪ z ɐ
advertisers,ˈ æ d v ə t ˌ aɪ z ə z
advertises,ˈ æ d v ə t ˌ aɪ z ɪ z
advertising,ˈ æ d v ə t ˌ aɪ z ɪ ŋ
advice,ɐ d v ˈ aɪ s
advices,ɐ d v ˈ aɪ s ɪ z
advisability,ɐ d v ˌ aɪ z ə b ˈ ɪ l ɪ t i
advisable,ɐ d v ˈ aɪ z ə b ə l
advised,ɐ d v ˈ aɪ z d
advisedly,ɐ d v ˈ aɪ z ɪ d l i
advise,ɐ d v ˈ aɪ z
adviser,ɐ d v ˈ aɪ z ɐ
advisers,ɐ d v ˈ aɪ z ə z
advises,ɐ d v ˈ aɪ z ɪ z
advising,ɐ d v ˈ aɪ z ɪ ŋ
advisor,ɐ d v ˈ aɪ z ɐ
advisories,ɐ d v ˈ aɪ z ə ɹ ˌ i z
advisors,ɐ d v ˈ aɪ z ə z
advisory,ɐ d v ˈ aɪ z ə ɹ ˌ i
advocaat,ˈ æ d v ə k ˌ ɑː t
advocacy,ˈ æ d v ə k ə s i
advocated,ˈ æ d v ə k ˌ eɪ t ɪ d
advocating,ˈ æ d v ə k ˌ eɪ t ɪ ŋ
advocation,ˌ æ d v ə k ˈ eɪ ʃ ə n
advocator,ˈ æ d v ə k ˌ eɪ t ɐ
adz,ˈ æ d z
adze,ˈ æ d z
aedes,ˈ iː d z
aegis,ˈ iː d ʒ ɪ s
aeolian,iː ˈ əʊ l i ə n
aeolipile,ˈ iː ə l ˌ ɪ p aɪ l
aeon,ˈ iː ɒ n
aeons,ˈ iː ɒ n z
aerated,e ə ɹ ˈ eɪ t ɪ d
aerate,e ə ɹ ˈ eɪ t
aerates,e ə ɹ ˈ eɪ t s
aerating,e ə ɹ ˈ eɪ t ɪ ŋ
aeration,e ə ɹ ˈ eɪ ʃ ə n
aerialist,ˈ eə ɹ ɪə l ˌ ɪ s t
aerials,ˈ eə ɹ ɪə l z
aerobatic,ˌ eə ɹ əʊ b ˈ æ t ɪ k
aerobatics,ˌ eə ɹ əʊ b ˈ æ t ɪ k s
aerobically,e ə ɹ ˈ əʊ b ɪ k l i
aerobic,e ə ɹ ˈ əʊ b ɪ k
aerobics,e ə ɹ ˈ əʊ b ɪ k s
aerodrome,ˈ eə ɹ əʊ d ɹ ˌ əʊ m
aerodromes,ˈ eə ɹ əʊ d ɹ ˌ əʊ m z
aerodynamically,ˌ eə ɹ əʊ d aɪ n ˈ æ m ɪ k l i
aerodynamic,ˌ eə ɹ əʊ d aɪ n ˈ æ m ɪ k
aerodynamicist,ˌ eə ɹ əʊ d aɪ n ˈ æ m ɪ s ˌ ɪ s t
aerodynamics,ˌ eə ɹ əʊ d aɪ n ˈ æ m ɪ k s
aero,ˈ eə ɹ əʊ
aerofoil,ˈ eə ɹ əʊ f ˌ ɔɪ l
aerofoils,ˈ eə ɹ əʊ f ˌ ɔɪ l z
aeronaut,ˈ eə ɹ əʊ n ˌ ɔː t
aeronautical,ˌ eə ɹ əʊ n ˈ ɔː t ɪ k ə l
aeronautic,ˌ eə ɹ əʊ n ˈ ɔː t ɪ k
aeronautics,ˌ eə ɹ əʊ n ˈ ɔː t ɪ k s
aeronauts,ˈ eə ɹ əʊ n ˌ ɔː t s
aeroplane,ˈ eə ɹ ə p l ˌ eɪ n
aeroplanes,ˈ eə ɹ ə p l ˌ eɪ n z
aerosol,ˈ eə ɹ ə s ˌ ɒ l
aerosols,ˈ eə ɹ ə s ˌ ɒ l z
aerospace,ˈ eə ɹ əʊ s p ˌ eɪ s
aesthete,ˈ iː s θ iː t
aesthetes,ˈ iː s θ iː t s
aesthetically,iː s θ ˈ ɛ t ɪ k l i
aesthetic,iː s θ ˈ ɛ t ɪ k
aesthetics,iː s θ ˈ ɛ t ɪ k s
aestival,ˈ iː s t ɪ v ə l
aetiology,ˌ iː t ɪ ˈ ɒ l ə d ʒ i
afar,ɐ f ˈ ɑː
afeard,ɐ f ˈ i ə d
affability,ˌ æ f ə b ˈ ɪ l ɪ t i
affable,ˈ æ f ə b ə l
affaire,ɐ f ˈ eə
affaires,ɐ f ˈ eə z
affair,ɐ f ˈ eə
affairs,ɐ f ˈ eə z
affectation,ɐ f ɪ k t ˈ eɪ ʃ ə n
affectations,ɐ f ɪ k t ˈ eɪ ʃ ə n z
affected,ɐ f ˈ ɛ k t ɪ d
affecting,ɐ f ˈ ɛ k t ɪ ŋ
affectionate,ɐ f ˈ ɛ k ʃ ə n ə t
affectionately,ɐ f ˈ ɛ k ʃ ə n ə t l i
affection,ɐ f ˈ ɛ k ʃ ə n
affections,ɐ f ˈ ɛ k ʃ ə n z
affective,ɐ f ˈ ɛ k t ɪ v
affectively,ɐ f ˈ ɛ k t ɪ v l i
afferent,ˈ æ f ɹ ə n t
affianced,ɐ f ˈ aɪ ə n s t
affidavit,ˌ æ f ɪ d ˈ eɪ v ɪ t
affidavits,ˌ æ f ɪ d ˈ eɪ v ɪ t s
affiliated,ɐ f ˈ ɪ l ɪ ˌ eɪ t ɪ d
affiliates,ɐ f ˈ ɪ l ɪ ˌ eɪ t s
affiliation,ɐ f ˌ ɪ l ɪ ˈ eɪ ʃ ə n
affiliations,ɐ f ˌ ɪ l ɪ ˈ eɪ ʃ ə n z
affinities,ɐ f ˈ ɪ n ɪ t i z
affinity,ɐ f ˈ ɪ n ɪ t i
affirmation,ˌ æ f ə m ˈ eɪ ʃ ə n
affirmations,ˌ æ f ə m ˈ eɪ ʃ ə n z
affirmative,ɐ f ˈ ɜː m ə t ˌ ɪ v
affirmatively,ɐ f ˈ ɜː m ə t ˌ ɪ v l i
affirmed,ɐ f ˈ ɜː m d
affirm,ɐ f ˈ ɜː m
affirming,ɐ f ˈ ɜː m ɪ ŋ
affirms,ɐ f ˈ ɜː m z
affixed,ɐ f ˈ ɪ k s t
afflatus,ɐ f l ˈ æ t ə s
afflicted,ɐ f l ˈ ɪ k t ɪ d
afflict,ɐ f l ˈ ɪ k t
afflicting,ɐ f l ˈ ɪ k t ɪ ŋ
affliction,ɐ f l ˈ ɪ k ʃ ə n
afflictions,ɐ f l ˈ ɪ k ʃ ə n z
afflicts,ɐ f l ˈ ɪ k t s
affluence,ˈ æ f l uː ə n s
affluent,ˈ æ f l uː ə n t
affordability,ɐ f ˌ ɔː d ə b ˈ ɪ l ɪ t i
affordable,ɐ f ˈ ɔː d ə b ə l
affordably,ɐ f ˈ ɔː d ə b l i
afforded,ɐ f ˈ ɔː d ɪ d
afford,ɐ f ˈ ɔː d
affording,ɐ f ˈ ɔː d ɪ ŋ
affords,ɐ f ˈ ɔː d z
afforestation,ɐ f ˌ ɒ ɹ ɪ s t ˈ eɪ ʃ ə n
affray,ɐ f ɹ ˈ eɪ
affrighted,ɐ f ɹ ˈ aɪ t ɪ d
affright,ɐ f ɹ ˈ aɪ t
affronted,ɐ f ɹ ˈ ʌ n t ɪ d
affront,ɐ f ɹ ˈ ʌ n t
affronts,ɐ f ɹ ˈ ʌ n t s
afghan,ˈ æ f ɡ æ n
afghani,æ f ɡ ˈ ɑː n i
afghanis,æ f ɡ ˈ ɑː n ɪ z
afghans,ˈ æ f ɡ æ n z
aficionado,ɐ f ˌ ɪ ʃ ə n ˈ ɑː d əʊ
aficionados,ɐ f ˌ ɪ ʃ ə n ˈ ɑː d əʊ z
afield,ɐ f ˈ iː l d
afire,ɐ f ˈ aɪ ə
aflame,ɐ f l ˈ eɪ m
aflatoxin,ɐ f l ˈ æ t ə k s ˌ ɪ n
afloat,ɐ f l ˈ əʊ t
aflutter,ɐ f l ˈ ʌ t ɐ
afoot,ɐ f ˈ ʊ t
afore,ɐ f ˈ ɔː
aforementioned,ɐ f ˈ ɔː m ɛ n ʃ ə n d
aforesaid,ɐ f ˈ ɔː s ɛ d
aforethought,ɐ f ˈ ɔː θ ɔː t
afoul,ɐ f ˈ aʊ l
afraid,ɐ f ɹ ˈ eɪ d
afresh,ɐ f ɹ ˈ ɛ ʃ
afterbirth,ˈ ɑː f t ə b ˌ ɜː θ
afterburners,ˈ ɑː f t ə b ˌ ɜː n ə z
aftercare,ˈ ɑː f t ə k ˌ eə
aftereffect,ˈ ɑː f t ə ɹ ɪ f ˌ ɛ k t
aftereffects,ˈ ɑː f t ə ɹ ɪ f ˌ ɛ k t s
after,ˈ ɑː f t ɐ
afterglow,ˈ ɑː f t ə ɡ l ˌ əʊ
afterimage,ˈ ɑː f t ə ɹ ˌ ɪ m ɪ d ʒ
afterlife,ˈ ɑː f t ə l ˌ aɪ f
afterlives,ˈ ɑː f t ə l ˌ ɪ v z
aftermarket,ˈ ɑː f t ə m ˌ ɑː k ɪ t
aftermath,ˈ ɑː f t ə m ˌ æ θ
aftermaths,ˈ ɑː f t ə m ˌ æ θ s
afternoons,ˌ ɑː f t ə n ˈ uː n z
afterschool,ˈ ɑː f t ə s k ˌ uː l
afters,ˈ ɑː f t ə z
aftershave,ˈ ɑː f t ə ʃ ˌ eɪ v
aftershaves,ˈ ɑː f t ə ʃ ˌ eɪ v z
aftershock,ˈ ɑː f t ə ʃ ˌ ɒ k
aftershocks,ˈ ɑː f t ə ʃ ˌ ɒ k s
aftertaste,ˈ ɑː f t ə t ˌ eɪ s t
afterthought,ˈ ɑː f t ə θ ˌ ɔː t
afterward,ˈ ɑː f t ə w ə d
afterwards,ˈ ɑː f t ə w ə d z
aft,ˈ ɑː f t
aga,ˈ ɑː ɡ ɐ
again,ɐ ɡ ˈ ɛ n
against,ɐ ɡ ˈ ɛ n s t
agama,æ ɡ ˈ ɑː m ɐ
agamas,æ ɡ ˈ ɑː m ə z
agapanthus,ˈ æ ɡ ɐ p ˌ ɑː n θ ə s
agar,ˈ eɪ ɡ ɑː
agaric,æ ɡ ˈ æ ɹ ɪ k
agate,ˈ æ ɡ eɪ t
agates,ˈ æ ɡ eɪ t s
agave,ˈ æ ɡ eɪ v
agee,ˈ æ d ʒ iː
age,ˈ eɪ d ʒ
ageing,ˈ eɪ d ʒ ɪ ŋ
ageism,ˈ eɪ d ʒ ɪ z ə m
ageist,ˈ eɪ d ʒ ɪ s t
ageless,ˈ eɪ d ʒ l ə s
agencies,ˈ eɪ d ʒ ə n s i z
agency,ˈ eɪ d ʒ ə n s i
agenda,ɐ d ʒ ˈ ɛ n d ɐ
agendas,ɐ d ʒ ˈ ɛ n d ə z
agent,ˈ eɪ d ʒ ə n t
agents,ˈ eɪ d ʒ ə n t s
ageratum,ˌ eɪ d ʒ ə ɹ ˈ ɑː t ə m
ages,ˈ eɪ d ʒ ɪ z
agger,ˈ æ ɡ ɐ
aggie,ˈ æ ɡ i
agglomeration,ɐ ɡ l ˌ ɒ m ə ɹ ˈ eɪ ʃ ə n
